MMSI,Length,area,sc,compactness,r_1_0,mean,variance,theta,class
MMSI431005339,46,690,1.716566792,0.422106588,0.142857143,0.064717734,0.008587357,-126.5724,0
MMSI256151000,35,175,2.910261817,0.363782727,0.376344086,0.611984604,0.101854146,-10.35617054,0
MMSI352772000,39,273,2.46719311,0.37544243,0.422222222,0.591776506,0.111054556,-6.593485826,0
MMSI431100206,9,36,1.494288077,0.459780947,0.040650407,0.318772741,0.047121993,-41.81399275,0
MMSI431101164,20,140,1.65748505,0.429718346,0.185185185,0.498278123,0.083442393,-99.47731058,0
MMSI431169000,16,48,2.393955602,0.37799299,0.132743363,0.333478475,0.04258407,-34.30836933,0
MMSI431501616,21,84,2.368377129,0.378940341,0.163636364,0.260940754,0.044534094,-36.69831346,0
MMSI431501639,13,65,1.586652356,0.440736765,0.094017094,0.252791329,0.046241448,-38.98659683,0
MMSI431501709,22,88,2.445198671,0.376184411,0.153153153,0.33515328,0.058379861,4.708360752,0
MMSI431800677,16,80,1.754683248,0.417781726,0.066666667,0.243275091,0.054698209,-34.07151201,0
MMSI477144500,19,76,2.215604339,0.385322494,0.142857143,0.316649245,0.081019632,1.804740975,0
MMSI538006127,15,75,1.697652726,0.424413182,0.132743363,0.260645102,0.030816356,-25.60251282,0
MMSI538006128,22,154,1.73830269,0.419590305,0.196261682,0.453165335,0.140200904,-10.92584773,0
MMSI565713000,43,516,1.866060864,0.407140552,0.505882353,0.318518256,0.120496589,-7.674636231,0
MMSI220552000,44,792,1.544928286,0.448527567,0.391304348,0.314974612,0.12249547,-98.03673868,0
MMSI431501712,19,57,2.702841841,0.368569342,0.142857143,0.515726404,0.081063731,18.23533241,0
MMSI419756000,44,484,1.989436789,0.397887358,0.254901961,0.253525955,0.075281792,-132.4169631,0
MMSI431501737,12,48,1.697652726,0.424413182,0.094017094,0.315863736,0.056215837,-27.07092622,0
MMSI431501741,14,56,1.841650056,0.409255568,0.084745763,0.416705698,0.078256891,-12.24445505,0
MMSI441705000,17,51,2.496548127,0.374482219,0.142857143,0.567984488,0.107217493,-4.092735631,0
MMSI371687000,65,1235,1.818619074,0.411354314,0.242718447,0.130146645,0.038244729,-60.31854265,0
MMSI431000972,17,68,2.064333232,0.39320633,0.094017094,0.218201887,0.03989915,-14.82677137,0
MMSI431001006,17,102,1.650842449,0.430654552,0.084745763,0.303465631,0.096337186,-32.3592822,0
MMSI441611000,18,90,1.870954775,0.406729299,0.113043478,0.271276678,0.057408991,-39.87270539,0
MMSI431001006,17,119,1.540726844,0.449378663,0.066666667,0.266529859,0.089027809,-35.5777517,0
